"","seqnames","start","end","width","strand","peakID"
"38","chr1",1273631,1273924,294,"*","Peak_38_DC1_only"
"39","chr1",1273986,1274833,848,"*","Peak_39_DC2_only"
"40","chr1",1291598,1292319,722,"*","Peak_40_Both_DC1_DC2"
"41","chr1",1294779,1295272,494,"*","Peak_41_DC2_only"
"42","chr1",1299669,1299979,311,"*","Peak_42_DC2_only"
"43","chr1",1308091,1308448,358,"*","Peak_43_Both_DC1_DC2"
"44","chr1",1308801,1309622,822,"*","Peak_44_DC2_only"
"45","chr1",1310115,1311302,1188,"*","Peak_45_DC2_only"
"46","chr1",1324313,1325495,1183,"*","Peak_46_Both_DC1_DC2"
"47","chr1",1331146,1331554,409,"*","Peak_47_DC2_only"
"48","chr1",1334807,1335309,503,"*","Peak_48_DC1_only"
"49","chr1",1347331,1347710,380,"*","Peak_49_DC2_only"
"50","chr1",1348306,1348636,331,"*","Peak_50_DC2_only"
"51","chr1",1352288,1354658,2371,"*","Peak_51_Both_DC1_DC2"
"52","chr1",1358517,1359287,771,"*","Peak_52_DC2_only"
"53","chr1",1361257,1361699,443,"*","Peak_53_DC2_only"
"54","chr1",1372062,1372422,361,"*","Peak_54_DC2_only"
"55","chr1",1372720,1373354,635,"*","Peak_55_DC2_only"
"56","chr1",1374600,1375914,1315,"*","Peak_56_Both_DC1_DC2"
"57","chr1",1386017,1386284,268,"*","Peak_57_DC2_only"
"58","chr1",1398163,1398438,276,"*","Peak_58_DC2_only"
"59","chr1",1399379,1400371,993,"*","Peak_59_Both_DC1_DC2"
"60","chr1",1401152,1401888,737,"*","Peak_60_DC2_only"
"61","chr1",1405684,1406145,462,"*","Peak_61_DC2_only"
"62","chr1",1406940,1407615,676,"*","Peak_62_Both_DC1_DC2"
"63","chr1",1407944,1408223,280,"*","Peak_63_DC2_only"
"64","chr1",1409629,1410548,920,"*","Peak_64_DC2_only"
"65","chr1",1411772,1412173,402,"*","Peak_65_DC2_only"
"66","chr1",1419410,1419800,391,"*","Peak_66_DC2_only"
"67","chr1",1425844,1426524,681,"*","Peak_67_DC2_only"
"68","chr1",1429954,1430638,685,"*","Peak_68_DC2_only"
"69","chr1",1435069,1435490,422,"*","Peak_69_DC2_only"
"70","chr1",1436651,1436923,273,"*","Peak_70_DC2_only"
"71","chr1",1440973,1441504,532,"*","Peak_71_DC2_only"
"72","chr1",1463888,1464419,532,"*","Peak_72_DC2_only"
"73","chr1",1471084,1471904,821,"*","Peak_73_Both_DC1_DC2"
"74","chr1",1505486,1506069,584,"*","Peak_74_DC2_only"
"75","chr1",1511377,1512263,887,"*","Peak_75_Both_DC1_DC2"
"76","chr1",1537284,1537608,325,"*","Peak_76_DC2_only"
"77","chr1",1540838,1541557,720,"*","Peak_77_DC2_only"
"78","chr1",1543505,1543897,393,"*","Peak_78_DC2_only"
"79","chr1",1574213,1575858,1646,"*","Peak_79_Both_DC1_DC2"
"80","chr1",1586625,1586947,323,"*","Peak_80_DC2_only"
"81","chr1",1597857,1598910,1054,"*","Peak_81_DC2_only"
"82","chr1",1599181,1599525,345,"*","Peak_82_DC2_only"
"83","chr1",1614574,1615197,624,"*","Peak_83_DC2_only"
"84","chr1",1615319,1615852,534,"*","Peak_84_Both_DC1_DC2"
"85","chr1",1620283,1620736,454,"*","Peak_85_DC2_only"
"86","chr1",1627960,1628449,490,"*","Peak_86_DC2_only"
"87","chr1",1630392,1630906,515,"*","Peak_87_DC2_only"
"88","chr1",1645768,1646045,278,"*","Peak_88_DC2_only"
"89","chr1",1658733,1659759,1027,"*","Peak_89_Both_DC1_DC2"
"90","chr1",1665667,1666151,485,"*","Peak_90_DC2_only"
"91","chr1",1682564,1683566,1003,"*","Peak_91_DC2_only"
"92","chr1",1692342,1693198,857,"*","Peak_92_Both_DC1_DC2"
"93","chr1",1697684,1697985,302,"*","Peak_93_DC2_only"
"94","chr1",1724071,1725290,1220,"*","Peak_94_Both_DC1_DC2"
"95","chr1",1745602,1746747,1146,"*","Peak_95_Both_DC1_DC2"
"96","chr1",1754938,1755249,312,"*","Peak_96_DC2_only"
"97","chr1",1777831,1778194,364,"*","Peak_97_DC2_only"
"98","chr1",1778648,1783713,5066,"*","Peak_98_Both_DC1_DC2"
"99","chr1",1789001,1789461,461,"*","Peak_99_DC2_only"
"100","chr1",1859292,1859571,280,"*","Peak_100_DC2_only"
"101","chr1",1873323,1873815,493,"*","Peak_101_DC2_only"
"102","chr1",1891584,1892281,698,"*","Peak_102_DC2_only"
"103","chr1",1894846,1895629,784,"*","Peak_103_DC2_only"
"104","chr1",1901879,1902166,288,"*","Peak_104_DC2_only"
"105","chr1",1906132,1906701,570,"*","Peak_105_DC2_only"
"106","chr1",1907812,1909767,1956,"*","Peak_106_Both_DC1_DC2"
"107","chr1",1913890,1914282,393,"*","Peak_107_DC2_only"
"108","chr1",1915796,1916267,472,"*","Peak_108_DC2_only"
"109","chr1",1917645,1918721,1077,"*","Peak_109_DC2_only"
"110","chr1",1918779,1919239,461,"*","Peak_110_DC1_only"
"111","chr1",1943500,1943956,457,"*","Peak_111_DC2_only"
"112","chr1",1944127,1944405,279,"*","Peak_112_DC1_only"
"113","chr1",1957591,1957948,358,"*","Peak_113_DC2_only"
"114","chr1",1960006,1960665,660,"*","Peak_114_Both_DC1_DC2"
"115","chr1",2003117,2004187,1071,"*","Peak_115_Both_DC1_DC2"
"116","chr1",2017595,2018403,809,"*","Peak_116_DC2_only"
"117","chr1",2019583,2019979,397,"*","Peak_117_DC1_only"
"118","chr1",2045107,2045456,350,"*","Peak_118_DC2_only"
"119","chr1",2046597,2047609,1013,"*","Peak_119_DC2_only"
"120","chr1",2047903,2048515,613,"*","Peak_120_DC2_only"
"121","chr1",2049268,2050158,891,"*","Peak_121_DC2_only"
"122","chr1",2051876,2052160,285,"*","Peak_122_DC2_only"
"123","chr1",2091214,2091795,582,"*","Peak_123_DC2_only"
"124","chr1",2115804,2116395,592,"*","Peak_124_DC2_only"
"125","chr1",2131171,2131625,455,"*","Peak_125_DC2_only"
"126","chr1",2131904,2132314,411,"*","Peak_126_DC2_only"
"127","chr1",2168526,2168852,327,"*","Peak_127_DC2_only"
"128","chr1",2173921,2174961,1041,"*","Peak_128_Both_DC1_DC2"
"129","chr1",2189667,2190447,781,"*","Peak_129_DC2_only"
"130","chr1",2195093,2195874,782,"*","Peak_130_DC2_only"
"131","chr1",2199160,2199803,644,"*","Peak_131_DC2_only"
"132","chr1",2205398,2206012,615,"*","Peak_132_Both_DC1_DC2"
"133","chr1",2212090,2213529,1440,"*","Peak_133_DC2_only"
"134","chr1",2226005,2227007,1003,"*","Peak_134_DC2_only"
"135","chr1",2229372,2230078,707,"*","Peak_135_DC2_only"
"136","chr1",2231517,2231847,331,"*","Peak_136_DC2_only"
"137","chr1",2236030,2236386,357,"*","Peak_137_DC2_only"
"138","chr1",2238167,2238479,313,"*","Peak_138_DC2_only"
"139","chr1",2240217,2240568,352,"*","Peak_139_DC2_only"
"140","chr1",2247506,2248772,1267,"*","Peak_140_Both_DC1_DC2"
"141","chr1",2249378,2250016,639,"*","Peak_141_DC2_only"
"142","chr1",2250867,2251563,697,"*","Peak_142_DC2_only"
"143","chr1",2266261,2266696,436,"*","Peak_143_DC2_only"
"144","chr1",2270454,2271025,572,"*","Peak_144_DC2_only"
"145","chr1",2275344,2275632,289,"*","Peak_145_DC2_only"
"146","chr1",2278718,2279967,1250,"*","Peak_146_Both_DC1_DC2"
"147","chr1",2292849,2293392,544,"*","Peak_147_DC2_only"
"148","chr1",2294597,2294901,305,"*","Peak_148_DC2_only"
"149","chr1",2295287,2295921,635,"*","Peak_149_DC2_only"
"150","chr1",2300915,2301601,687,"*","Peak_150_DC2_only"
"151","chr1",2310731,2311943,1213,"*","Peak_151_DC2_only"
"152","chr1",2313744,2314562,819,"*","Peak_152_DC2_only"
"153","chr1",2323062,2323463,402,"*","Peak_153_DC2_only"
"154","chr1",2373851,2374126,276,"*","Peak_154_DC2_only"
"155","chr1",2378566,2378833,268,"*","Peak_155_DC2_only"
"156","chr1",2382437,2383033,597,"*","Peak_156_DC2_only"
"157","chr1",2390918,2391946,1029,"*","Peak_157_Both_DC1_DC2"
"158","chr1",2405639,2405918,280,"*","Peak_158_DC2_only"
"159","chr1",2411991,2412918,928,"*","Peak_159_DC2_only"
"160","chr1",2413846,2414524,679,"*","Peak_160_DC2_only"
"161","chr1",2442807,2443316,510,"*","Peak_161_DC2_only"
"162","chr1",2473851,2474447,597,"*","Peak_162_Both_DC1_DC2"
"163","chr1",2523090,2523362,273,"*","Peak_163_DC2_only"
"164","chr1",2525813,2526372,560,"*","Peak_164_Both_DC1_DC2"
"165","chr1",2526768,2527170,403,"*","Peak_165_DC2_only"
"166","chr1",2544821,2545142,322,"*","Peak_166_DC2_only"
"167","chr1",2545595,2546000,406,"*","Peak_167_DC2_only"
"168","chr1",2546546,2548567,2022,"*","Peak_168_Both_DC1_DC2"
"169","chr1",2561748,2562344,597,"*","Peak_169_DC2_only"
"170","chr1",2585402,2585984,583,"*","Peak_170_DC2_only"
"171","chr1",2587257,2587911,655,"*","Peak_171_DC2_only"
"172","chr1",2642161,2643626,1466,"*","Peak_172_Both_DC1_DC2"
"173","chr1",2653797,2654196,400,"*","Peak_173_DC2_only"
"174","chr1",3061554,3061835,282,"*","Peak_174_DC2_only"
"175","chr1",3063302,3063738,437,"*","Peak_175_DC2_only"
"176","chr1",3071356,3071851,496,"*","Peak_176_DC2_only"
"177","chr1",3073567,3073838,272,"*","Peak_177_DC2_only"
"178","chr1",3105532,3105997,466,"*","Peak_178_DC2_only"
"179","chr1",3185705,3186139,435,"*","Peak_179_DC2_only"
"180","chr1",3247513,3247933,421,"*","Peak_180_Both_DC1_DC2"
"181","chr1",3277083,3277421,339,"*","Peak_181_DC2_only"
"182","chr1",3283852,3284187,336,"*","Peak_182_DC2_only"
"183","chr1",3319131,3319401,271,"*","Peak_183_DC2_only"
"184","chr1",3350590,3351138,549,"*","Peak_184_DC2_only"
"185","chr1",3393505,3393782,278,"*","Peak_185_DC2_only"
"186","chr1",3452983,3453680,698,"*","Peak_186_DC2_only"
"187","chr1",3455193,3455696,504,"*","Peak_187_Both_DC1_DC2"
"188","chr1",3471530,3472476,947,"*","Peak_188_DC2_only"
"189","chr1",3483997,3484301,305,"*","Peak_189_DC2_only"
"190","chr1",3516043,3516361,319,"*","Peak_190_DC2_only"
"191","chr1",3532507,3532847,341,"*","Peak_191_DC2_only"
"192","chr1",3538255,3538535,281,"*","Peak_192_DC2_only"
"193","chr1",3543545,3543874,330,"*","Peak_193_DC2_only"
"194","chr1",3564938,3565681,744,"*","Peak_194_DC2_only"
"195","chr1",3608298,3608718,421,"*","Peak_195_DC2_only"
"196","chr1",3618306,3619439,1134,"*","Peak_196_DC2_only"
"197","chr1",3649608,3650222,615,"*","Peak_197_DC2_only"
"198","chr1",3650767,3651609,843,"*","Peak_198_DC2_only"
"199","chr1",3653164,3653610,447,"*","Peak_199_DC2_only"
"200","chr1",3654197,3654561,365,"*","Peak_200_DC2_only"
"201","chr1",3695382,3695784,403,"*","Peak_201_DC2_only"
"202","chr1",3719990,3720548,559,"*","Peak_202_DC1_only"
"203","chr1",3732761,3733325,565,"*","Peak_203_Both_DC1_DC2"
"204","chr1",3746598,3747374,777,"*","Peak_204_Both_DC1_DC2"
"205","chr1",3775696,3776940,1245,"*","Peak_205_DC2_only"
"206","chr1",3789715,3790304,590,"*","Peak_206_DC2_only"
"207","chr1",3793219,3793760,542,"*","Peak_207_Both_DC1_DC2"
"208","chr1",3794493,3794807,315,"*","Peak_208_DC2_only"
"209","chr1",3795400,3795894,495,"*","Peak_209_DC2_only"
"210","chr1",3796329,3796741,413,"*","Peak_210_DC1_only"
"211","chr1",3857020,3857935,916,"*","Peak_211_Both_DC1_DC2"
"212","chr1",3899506,3900039,534,"*","Peak_212_DC2_only"
"213","chr1",3900100,3901376,1277,"*","Peak_213_Both_DC1_DC2"
"214","chr1",3903917,3904531,615,"*","Peak_214_DC2_only"
"215","chr1",3910742,3911323,582,"*","Peak_215_DC2_only"
"216","chr1",4033165,4033583,419,"*","Peak_216_DC2_only"
"217","chr1",4173339,4173781,443,"*","Peak_217_DC2_only"
"218","chr1",4447768,4448146,379,"*","Peak_218_DC2_only"
"219","chr1",4633351,4633620,270,"*","Peak_219_DC2_only"
"220","chr1",4650276,4650773,498,"*","Peak_220_DC2_only"
"221","chr1",4651248,4651540,293,"*","Peak_221_DC2_only"
"222","chr1",4652720,4653479,760,"*","Peak_222_DC2_only"
"223","chr1",4653827,4654198,372,"*","Peak_223_DC2_only"
"224","chr1",4656092,4656874,783,"*","Peak_224_DC2_only"
"225","chr1",4658084,4659155,1072,"*","Peak_225_DC2_only"
"226","chr1",4711229,4711554,326,"*","Peak_226_DC2_only"
"227","chr1",4712960,4713362,403,"*","Peak_227_DC2_only"
"228","chr1",4754719,4755737,1019,"*","Peak_228_Both_DC1_DC2"
"229","chr1",4755845,4756459,615,"*","Peak_229_DC2_only"
"230","chr1",4784710,4785156,447,"*","Peak_230_DC2_only"
"231","chr1",4821069,4821550,482,"*","Peak_231_DC2_only"
"232","chr1",4825974,4826377,404,"*","Peak_232_DC2_only"
"233","chr1",5020654,5020939,286,"*","Peak_233_DC2_only"
"234","chr1",5118451,5118790,340,"*","Peak_234_DC1_only"
"235","chr1",5120079,5120426,348,"*","Peak_235_DC2_only"
"236","chr1",5225583,5227155,1573,"*","Peak_236_DC2_only"
"237","chr1",5621207,5621529,323,"*","Peak_237_DC2_only"
"238","chr1",5746076,5746358,283,"*","Peak_238_DC2_only"
"239","chr1",5767095,5767354,260,"*","Peak_239_DC1_only"
"240","chr1",5830602,5831844,1243,"*","Peak_240_Both_DC1_DC2"
"241","chr1",5847227,5847659,433,"*","Peak_241_DC2_only"
"242","chr1",5896731,5898142,1412,"*","Peak_242_DC2_only"
"243","chr1",5980140,5980477,338,"*","Peak_243_DC2_only"
"244","chr1",5991949,5992940,992,"*","Peak_244_Both_DC1_DC2"
"245","chr1",5993394,5993698,305,"*","Peak_245_DC2_only"
"246","chr1",6002855,6003317,463,"*","Peak_246_DC2_only"
"247","chr1",6026115,6026530,416,"*","Peak_247_DC1_only"
"248","chr1",6041403,6041698,296,"*","Peak_248_DC2_only"
"249","chr1",6052566,6053087,522,"*","Peak_249_DC1_only"
"250","chr1",6053154,6053669,516,"*","Peak_250_DC2_only"
"251","chr1",6066446,6066998,553,"*","Peak_251_DC2_only"
"252","chr1",6109105,6109612,508,"*","Peak_252_DC2_only"
"253","chr1",6126294,6126591,298,"*","Peak_253_DC2_only"
"254","chr1",6128353,6128661,309,"*","Peak_254_DC2_only"
"255","chr1",6148966,6149387,422,"*","Peak_255_Both_DC1_DC2"
"256","chr1",6157361,6157748,388,"*","Peak_256_DC2_only"
"257","chr1",6180830,6181766,937,"*","Peak_257_DC2_only"
"258","chr1",6183671,6184002,332,"*","Peak_258_DC2_only"
"259","chr1",6199140,6200546,1407,"*","Peak_259_Both_DC1_DC2"
"260","chr1",6204712,6206546,1835,"*","Peak_260_Both_DC1_DC2"
"261","chr1",6207365,6208213,849,"*","Peak_261_DC2_only"
"262","chr1",6209229,6209815,587,"*","Peak_262_DC2_only"
"263","chr1",6220155,6220494,340,"*","Peak_263_DC2_only"
"264","chr1",6235127,6235411,285,"*","Peak_264_DC2_only"
"265","chr1",6236192,6237171,980,"*","Peak_265_DC2_only"
"266","chr1",6238416,6239316,901,"*","Peak_266_DC2_only"
"267","chr1",6239783,6240141,359,"*","Peak_267_DC2_only"
"268","chr1",6241136,6241473,338,"*","Peak_268_DC2_only"
"269","chr1",6241764,6242446,683,"*","Peak_269_DC2_only"
"270","chr1",6243427,6243743,317,"*","Peak_270_DC2_only"
"271","chr1",6245093,6247403,2311,"*","Peak_271_Both_DC1_DC2"
"272","chr1",6250071,6250384,314,"*","Peak_272_DC2_only"
"273","chr1",6258733,6259225,493,"*","Peak_273_DC2_only"
"274","chr1",6259603,6259965,363,"*","Peak_274_DC2_only"
"275","chr1",6261346,6261978,633,"*","Peak_275_DC2_only"
"276","chr1",6262263,6262586,324,"*","Peak_276_DC2_only"
"277","chr1",6274426,6274720,295,"*","Peak_277_DC2_only"
"278","chr1",6280721,6281198,478,"*","Peak_278_DC2_only"
"279","chr1",6334186,6334741,556,"*","Peak_279_DC2_only"
"280","chr1",6339166,6339484,319,"*","Peak_280_DC2_only"
"281","chr1",6343125,6343543,419,"*","Peak_281_DC2_only"
"282","chr1",6348043,6348613,571,"*","Peak_282_DC2_only"
"283","chr1",6352003,6352305,303,"*","Peak_283_DC2_only"
"284","chr1",6357344,6358253,910,"*","Peak_284_DC2_only"
"285","chr1",6361076,6361411,336,"*","Peak_285_DC2_only"
"286","chr1",6362585,6363543,959,"*","Peak_286_DC2_only"
"287","chr1",6385133,6386466,1334,"*","Peak_287_Both_DC1_DC2"
"288","chr1",6393596,6394436,841,"*","Peak_288_Both_DC1_DC2"
"289","chr1",6415292,6415627,336,"*","Peak_289_DC2_only"
"290","chr1",6420283,6420592,310,"*","Peak_290_DC2_only"
"291","chr1",6423197,6424247,1051,"*","Peak_291_DC2_only"
"292","chr1",6427548,6427813,266,"*","Peak_292_DC1_only"
"293","chr1",6439400,6439711,312,"*","Peak_293_DC2_only"
"294","chr1",6445063,6445587,525,"*","Peak_294_DC2_only"
"295","chr1",6447114,6448618,1505,"*","Peak_295_DC2_only"
"296","chr1",6453952,6454496,545,"*","Peak_296_DC2_only"
"297","chr1",6456265,6456967,703,"*","Peak_297_DC2_only"
"298","chr1",6459429,6460035,607,"*","Peak_298_DC2_only"
"299","chr1",6460732,6461101,370,"*","Peak_299_DC2_only"
"300","chr1",6465556,6466065,510,"*","Peak_300_DC2_only"
"301","chr1",6467018,6467346,329,"*","Peak_301_DC2_only"
"302","chr1",6469924,6470232,309,"*","Peak_302_DC2_only"
"303","chr1",6471084,6471870,787,"*","Peak_303_DC2_only"
"304","chr1",6475540,6475994,455,"*","Peak_304_DC2_only"
"305","chr1",6483457,6483997,541,"*","Peak_305_DC2_only"
"306","chr1",6484598,6485078,481,"*","Peak_306_DC2_only"
"307","chr1",6485905,6486994,1090,"*","Peak_307_DC2_only"
"308","chr1",6489656,6491733,2078,"*","Peak_308_Both_DC1_DC2"
"309","chr1",6492001,6492341,341,"*","Peak_309_DC2_only"
"310","chr1",6496163,6496729,567,"*","Peak_310_DC2_only"
"311","chr1",6506775,6507044,270,"*","Peak_311_DC2_only"
"312","chr1",6513570,6514137,568,"*","Peak_312_DC2_only"
"313","chr1",6518861,6519315,455,"*","Peak_313_DC2_only"
"314","chr1",6519630,6520467,838,"*","Peak_314_Both_DC1_DC2"
"315","chr1",6554218,6555435,1218,"*","Peak_315_Both_DC1_DC2"
"316","chr1",6579451,6580252,802,"*","Peak_316_DC2_only"
"317","chr1",6580577,6581418,842,"*","Peak_317_DC2_only"
"318","chr1",6601147,6601630,484,"*","Peak_318_DC2_only"
"319","chr1",6602253,6604468,2216,"*","Peak_319_DC2_only"
"320","chr1",6612295,6613139,845,"*","Peak_320_DC2_only"
"321","chr1",6613439,6614024,586,"*","Peak_321_Both_DC1_DC2"
"322","chr1",6615331,6615777,447,"*","Peak_322_DC2_only"
"323","chr1",6622780,6623133,354,"*","Peak_323_DC2_only"
"324","chr1",6624463,6625300,838,"*","Peak_324_Both_DC1_DC2"
"325","chr1",6634667,6634988,322,"*","Peak_325_DC2_only"
"326","chr1",6693995,6694333,339,"*","Peak_326_DC2_only"
"327","chr1",6701491,6701930,440,"*","Peak_327_Both_DC1_DC2"
"328","chr1",6784209,6785121,913,"*","Peak_328_DC2_only"
"329","chr1",6786222,6786532,311,"*","Peak_329_DC2_only"
"330","chr1",6954645,6954914,270,"*","Peak_330_DC2_only"
"331","chr1",6955564,6955935,372,"*","Peak_331_DC2_only"
"332","chr1",6956901,6957181,281,"*","Peak_332_DC2_only"
"333","chr1",6961377,6962198,822,"*","Peak_333_DC2_only"
"334","chr1",6963393,6964261,869,"*","Peak_334_Both_DC1_DC2"
"335","chr1",7042568,7043129,562,"*","Peak_335_DC2_only"
"336","chr1",7046096,7046434,339,"*","Peak_336_DC2_only"
"337","chr1",7070335,7071179,845,"*","Peak_337_DC2_only"
"338","chr1",7117269,7117970,702,"*","Peak_338_DC2_only"
"339","chr1",7149020,7150261,1242,"*","Peak_339_DC2_only"
"340","chr1",7207884,7208198,315,"*","Peak_340_DC1_only"
"341","chr1",7228883,7229162,280,"*","Peak_341_DC2_only"
"342","chr1",7253007,7253299,293,"*","Peak_342_DC2_only"
"343","chr1",7298202,7298465,264,"*","Peak_343_DC1_only"
"344","chr1",7299578,7299949,372,"*","Peak_344_DC2_only"
"345","chr1",7336776,7337349,574,"*","Peak_345_DC2_only"
"346","chr1",7379559,7380569,1011,"*","Peak_346_DC2_only"
"347","chr1",7476905,7477189,285,"*","Peak_347_DC2_only"
"348","chr1",7536237,7536647,411,"*","Peak_348_DC2_only"
"349","chr1",7561428,7561982,555,"*","Peak_349_Both_DC1_DC2"
"350","chr1",7608908,7609634,727,"*","Peak_350_DC2_only"
"351","chr1",7610156,7610896,741,"*","Peak_351_DC2_only"
"352","chr1",7667282,7668026,745,"*","Peak_352_DC2_only"
"353","chr1",7668755,7669029,275,"*","Peak_353_DC2_only"
"354","chr1",7669336,7670381,1046,"*","Peak_354_DC2_only"
"355","chr1",7680069,7680355,287,"*","Peak_355_DC2_only"
"356","chr1",7770913,7771945,1033,"*","Peak_356_Both_DC1_DC2"
"357","chr1",7772507,7772775,269,"*","Peak_357_DC2_only"
"358","chr1",7782981,7783436,456,"*","Peak_358_DC2_only"
"359","chr1",7902701,7903044,344,"*","Peak_359_DC1_only"
"360","chr1",7942283,7942548,266,"*","Peak_360_DC1_only"
"361","chr1",7953958,7954483,526,"*","Peak_361_DC1_only"
"362","chr1",7955547,7955819,273,"*","Peak_362_DC2_only"
"363","chr1",7961211,7962353,1143,"*","Peak_363_Both_DC1_DC2"
"364","chr1",7982307,7982689,383,"*","Peak_364_DC2_only"
"365","chr1",7991746,7992206,461,"*","Peak_365_Both_DC1_DC2"
"366","chr1",8026246,8026777,532,"*","Peak_366_Both_DC1_DC2"
"367","chr1",8165537,8165855,319,"*","Peak_367_DC2_only"
"368","chr1",8166228,8166624,397,"*","Peak_368_DC2_only"
"369","chr1",8167164,8167436,273,"*","Peak_369_DC1_only"
"370","chr1",8167878,8168293,416,"*","Peak_370_DC2_only"
"371","chr1",8209265,8209648,384,"*","Peak_371_DC2_only"
"372","chr1",8217513,8218028,516,"*","Peak_372_DC2_only"
"373","chr1",8218417,8218753,337,"*","Peak_373_DC2_only"
"374","chr1",8239526,8239802,277,"*","Peak_374_DC1_only"
"375","chr1",8241446,8241727,282,"*","Peak_375_DC2_only"
"376","chr1",8263633,8263933,301,"*","Peak_376_DC2_only"
"377","chr1",8314062,8315185,1124,"*","Peak_377_DC2_only"
"378","chr1",8315615,8315929,315,"*","Peak_378_DC2_only"
"379","chr1",8317125,8319053,1929,"*","Peak_379_DC2_only"
"380","chr1",8349016,8349536,521,"*","Peak_380_DC1_only"
"381","chr1",8350894,8352117,1224,"*","Peak_381_DC2_only"
"382","chr1",8359520,8359896,377,"*","Peak_382_DC2_only"
"383","chr1",8424059,8424725,667,"*","Peak_383_DC2_only"
"384","chr1",8443617,8444081,465,"*","Peak_384_DC1_only"
"385","chr1",8599653,8600072,420,"*","Peak_385_DC2_only"
"386","chr1",8607958,8608228,271,"*","Peak_386_DC2_only"
"387","chr1",8703423,8703704,282,"*","Peak_387_DC2_only"
"388","chr1",8726248,8726578,331,"*","Peak_388_DC2_only"
"389","chr1",8726978,8727246,269,"*","Peak_389_DC2_only"
"390","chr1",8817193,8817756,564,"*","Peak_390_Both_DC1_DC2"
"391","chr1",8848157,8849718,1562,"*","Peak_391_DC2_only"
"392","chr1",8859293,8859707,415,"*","Peak_392_DC2_only"
"393","chr1",8877091,8877376,286,"*","Peak_393_DC2_only"
"394","chr1",8878016,8879074,1059,"*","Peak_394_DC2_only"
"395","chr1",8911504,8912240,737,"*","Peak_395_DC2_only"
"396","chr1",8956795,8957270,476,"*","Peak_396_DC2_only"
"397","chr1",9005204,9005488,285,"*","Peak_397_DC2_only"
"398","chr1",9009393,9010053,661,"*","Peak_398_DC1_only"
"399","chr1",9010925,9011276,352,"*","Peak_399_DC2_only"
"400","chr1",9038675,9038998,324,"*","Peak_400_DC2_only"
"401","chr1",9110735,9111178,444,"*","Peak_401_Both_DC1_DC2"
"402","chr1",9127951,9128289,339,"*","Peak_402_DC2_only"
"403","chr1",9129546,9129902,357,"*","Peak_403_DC2_only"
"404","chr1",9181218,9182687,1470,"*","Peak_404_DC2_only"
"405","chr1",9182959,9184100,1142,"*","Peak_405_DC2_only"
"406","chr1",9198231,9198675,445,"*","Peak_406_DC2_only"
"407","chr1",9234286,9234648,363,"*","Peak_407_DC2_only"
"408","chr1",9250817,9251350,534,"*","Peak_408_DC2_only"
"409","chr1",9266847,9267536,690,"*","Peak_409_Both_DC1_DC2"
"410","chr1",9269010,9269315,306,"*","Peak_410_DC2_only"
"411","chr1",9428757,9429180,424,"*","Peak_411_DC1_only"
"412","chr1",9455925,9456578,654,"*","Peak_412_DC2_only"
