File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF032EMI	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000BMJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										BCL11A-human	DNA						2011-07-18	ENCODE		see document		2	2_1							/files/ENCFF972ZXA/, /files/ENCFF595PNZ/	333050	ENCODE Processing Pipeline	a2494ac5440897e02e2b3c4b2e0fe307		https://www.encodeproject.org/files/ENCFF032EMI/@@download/ENCFF032EMI.bed.gz				released	s3://encode-public/2020/12/28/d070c441-734b-4b26-a9a1-ee580c0ca729/ENCFF032EMI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/28/d070c441-734b-4b26-a9a1-ee580c0ca729/ENCFF032EMI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF262EKX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BMJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										BCL11A-human	DNA						2011-07-18	ENCODE		see document		2	2_1							/files/ENCFF972ZXA/, /files/ENCFF356LFX/, /files/ENCFF595PNZ/	15500	ENCODE Processing Pipeline	de8c9ccce37c5196f185be38e3e30911		https://www.encodeproject.org/files/ENCFF262EKX/@@download/ENCFF262EKX.bed.gz				released	s3://encode-public/2020/12/28/a7b4e302-b44b-4200-a4ff-896e474550b8/ENCFF262EKX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/28/a7b4e302-b44b-4200-a4ff-896e474550b8/ENCFF262EKX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF671XDX	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DLK	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF381ASB/, /files/ENCFF135DRQ/	1263822	ENCODE Processing Pipeline	278c0c31cc9348bb3ff229043d8826c9		https://www.encodeproject.org/files/ENCFF671XDX/@@download/ENCFF671XDX.bed.gz				released	s3://encode-public/2017/04/21/eafa5c12-b602-4648-9193-1cf588d178bd/ENCFF671XDX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/04/21/eafa5c12-b602-4648-9193-1cf588d178bd/ENCFF671XDX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read length	insufficient read depth	control extremely low read depth
ENCFF559TGJ	bed narrowPeak	bed	narrowPeak	pseudoreplicated IDR thresholded peaks	GRCh38	ENCSR000DLK	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF671XDX/, /files/ENCFF419RSJ/	534248	ENCODE Processing Pipeline	e8d4a1b789a559e8a91a64c63aea5985		https://www.encodeproject.org/files/ENCFF559TGJ/@@download/ENCFF559TGJ.bed.gz				released	s3://encode-public/2017/04/21/b9033eed-6dac-4e56-8148-d7084adad148/ENCFF559TGJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/04/21/b9033eed-6dac-4e56-8148-d7084adad148/ENCFF559TGJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read length	insufficient read depth	control extremely low read depth
ENCFF412KEU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLK	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF376MST/, /files/ENCFF856UFA/, /files/ENCFF356LFX/, /files/ENCFF237PQJ/	595484	ENCODE Processing Pipeline	a6f6143c04c10d75862e1e922d87f8d7		https://www.encodeproject.org/files/ENCFF412KEU/@@download/ENCFF412KEU.bed.gz				released	s3://encode-public/2020/09/26/d7d27faf-12a8-4ccd-993b-7c1d739a0b21/ENCFF412KEU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/d7d27faf-12a8-4ccd-993b-7c1d739a0b21/ENCFF412KEU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length	insufficient read depth	control extremely low read depth
ENCFF443XCU	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000DLK	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF376MST/, /files/ENCFF856UFA/, /files/ENCFF237PQJ/	2462415	ENCODE Processing Pipeline	3cdd2f639fea45c0b436a09e3ef653bc		https://www.encodeproject.org/files/ENCFF443XCU/@@download/ENCFF443XCU.bed.gz				released	s3://encode-public/2020/09/26/04ed50ac-bc6b-46f4-b630-3b57b5a92bc9/ENCFF443XCU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/04ed50ac-bc6b-46f4-b630-3b57b5a92bc9/ENCFF443XCU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length	insufficient read depth	control extremely low read depth
ENCFF463CUD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1	1_1							/files/ENCFF948LKH/, /files/ENCFF892YBG/	3748451	ENCODE Processing Pipeline	b38544b2bf5119974975ce145f4d0a1f		https://www.encodeproject.org/files/ENCFF463CUD/@@download/ENCFF463CUD.bed.gz				released	s3://encode-public/2016/12/16/3c92d8a3-b9db-4947-9779-68237154e636/ENCFF463CUD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/3c92d8a3-b9db-4947-9779-68237154e636/ENCFF463CUD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read depth, low read length		
ENCFF226NUI	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		2	2_1							/files/ENCFF948LKH/, /files/ENCFF588EKB/	3546383	ENCODE Processing Pipeline	2be5c1221849e3bb40d06c7b3af0fd4b		https://www.encodeproject.org/files/ENCFF226NUI/@@download/ENCFF226NUI.bed.gz				released	s3://encode-public/2016/12/16/037476b0-a1ea-48b8-bc41-94c6c8a5a675/ENCFF226NUI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/037476b0-a1ea-48b8-bc41-94c6c8a5a675/ENCFF226NUI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read depth, low read length		
ENCFF584FLP	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF948LKH/, /files/ENCFF588EKB/, /files/ENCFF892YBG/	4095493	ENCODE Processing Pipeline	f9f68c7a9f60c0c75ce0621c5622ed9a		https://www.encodeproject.org/files/ENCFF584FLP/@@download/ENCFF584FLP.bed.gz				released	s3://encode-public/2016/12/16/c306197e-3cf3-4c38-8aa0-02a53e70c452/ENCFF584FLP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/c306197e-3cf3-4c38-8aa0-02a53e70c452/ENCFF584FLP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read depth, low read length		
ENCFF644BNN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF463CUD/, /files/ENCFF226NUI/, /files/ENCFF419RSJ/, /files/ENCFF584FLP/	58211	ENCODE Processing Pipeline	ef33160da1dbc7d345f7eb36065717f9		https://www.encodeproject.org/files/ENCFF644BNN/@@download/ENCFF644BNN.bed.gz				released	s3://encode-public/2016/12/16/b4f00aae-284b-4047-9a08-8bebf57d56f5/ENCFF644BNN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/b4f00aae-284b-4047-9a08-8bebf57d56f5/ENCFF644BNN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read depth, low read length		
ENCFF510ZPK	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF463CUD/, /files/ENCFF226NUI/, /files/ENCFF419RSJ/, /files/ENCFF584FLP/	51759	ENCODE Processing Pipeline	2cb47143b4196f2cd9eb0ba7d067b4bb		https://www.encodeproject.org/files/ENCFF510ZPK/@@download/ENCFF510ZPK.bed.gz				released	s3://encode-public/2016/12/16/7157d43e-f313-44e9-bca2-163ac739a466/ENCFF510ZPK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/7157d43e-f313-44e9-bca2-163ac739a466/ENCFF510ZPK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read depth, low read length		
ENCFF235HXA	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1	1_1							/files/ENCFF560EQC/, /files/ENCFF595PNZ/	328169	ENCODE Processing Pipeline	f623f1f0b1e6a88f35e1f6914684aa4c		https://www.encodeproject.org/files/ENCFF235HXA/@@download/ENCFF235HXA.bed.gz				released	s3://encode-public/2020/12/27/43283281-e17d-434d-b47c-244937947e79/ENCFF235HXA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/43283281-e17d-434d-b47c-244937947e79/ENCFF235HXA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF485HJS	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF560EQC/, /files/ENCFF678FKY/, /files/ENCFF595PNZ/	973811	ENCODE Processing Pipeline	2083845e996cff7db1afc1da6e7c75e8		https://www.encodeproject.org/files/ENCFF485HJS/@@download/ENCFF485HJS.bed.gz				released	s3://encode-public/2020/12/27/dbf2dc4e-788d-4ec1-8726-d30a665e9360/ENCFF485HJS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/dbf2dc4e-788d-4ec1-8726-d30a665e9360/ENCFF485HJS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF903OYT	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF560EQC/, /files/ENCFF678FKY/, /files/ENCFF595PNZ/, /files/ENCFF356LFX/	53082	ENCODE Processing Pipeline	8c63c6e0a82046290a43f75094fc39e3		https://www.encodeproject.org/files/ENCFF903OYT/@@download/ENCFF903OYT.bed.gz				released	s3://encode-public/2020/12/27/4f81128f-8aef-4f94-9341-38d824e2c602/ENCFF903OYT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/4f81128f-8aef-4f94-9341-38d824e2c602/ENCFF903OYT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF384KWP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BIQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF560EQC/, /files/ENCFF678FKY/, /files/ENCFF595PNZ/, /files/ENCFF356LFX/	59558	ENCODE Processing Pipeline	0387d9d40cb1b44c5022b34b051fda16		https://www.encodeproject.org/files/ENCFF384KWP/@@download/ENCFF384KWP.bed.gz				released	s3://encode-public/2020/12/27/08fc257d-2067-4c6a-9313-3229dd9cc198/ENCFF384KWP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/08fc257d-2067-4c6a-9313-3229dd9cc198/ENCFF384KWP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
